French,English,Italian,Spanish
toi,you,tu,usted
je,i,io,I
la,the,il,los
pour,to,a,para
une,a,un,a
s,s,S,s
ce,it,esso,eso
et,and,e,y
ce,that,Quello,que
t,t,T,t
de,of,di,de
est,is,è,es
dans,in,in,en
Quel,what,che cosa,qué
nous,we,noi,nosotros
moi,me,me,me
ce,this,questo,esta
il,he,lui,él
pour,for,per,por
ma,my,mio,mi
au,on,su,en
avoir,have,avere,tener
ton,your,il tuo,tu
fais,do,fare,hacer
a été,was,era,era
mèche,m,m,metro
non,no,no,no
ne pas,not,non,no
être,be,essere,ser
sont,are,sono,están
enfiler,don,assistente,don
ré,re,Rif,re
connaître,know,sapere,saber
pouvez,can,potere,lata
avec,with,insieme a,con
mais,but,ma,pero
tous,all,tutti,todos
alors,so,così,entonces
juste,just,appena,sólo
là,there,là,allí
ici,here,qui,aquí
elles ou ils,they,essi,ellos
aimer,like,piace,me gusta
ll,ll,ll,ll
avoir,get,ottenere,obtener
elle,she,lei,ella
va,go,andare,ir
si,if,Se,si
droit,right,Giusto,Correcto
en dehors,out,fuori,fuera
sur,about,di,sobre
en haut,up,su,arriba
à,at,a,en
lui,him,lui,él
à présent,now,adesso,ahora
Oh,oh,Oh,Oh
une,one,uno,una
viens,come,venire,venir
bien,well,bene,bien
son,her,suo,su
comment,how,come,cómo
Ouais,yeah,Sì,Si
monstre,ve,ve.,ve
volonté,will,volere,voluntad
a obtenu,got,avuto,tiene
vouloir,want,volere,querer
pense,think,pensare,pensar
comme,as,come,como
voir,see,vedere,ver
a fait,did,fatto,hizo
bien,good,Buona,bien
OMS,who,chi,quién
Pourquoi,why,perché,por qué
à partir de,from,da,desde
laisser,let,permettere,dejar
le sien,his,la sua,su
Oui,yes,sì,sí
lorsque,when,quando,Cuándo
Aller,going,andando,yendo
temps,time,volta,hora
une,an,un,un
d'accord,okay,Va bene,bueno
arrière,back,Indietro,espalda
voir,look,Guarda,Mira
nous,us,noi,nosotros
voudrais,would,volevo,haría
leur,them,loro,ellos
où,where,dove,donde
étaient,were,erano,fueron
prendre,take,prendere,llevar
ensuite,then,poi,luego
eu,had,avevo,tenido
ou,or,o,o
été,been,stato,estado
notre,our,nostro,nuestro
va,gonna,andando,ir a
dire,tell,raccontare,decir
vraiment,really,veramente,De Verdad
homme,man,uomo,hombre
quelque,some,alcuni,algunos
dire,say,dire,decir
Hé,hey,Ehi,Oye
pouvait,could,potevo,pudo
ré,d,D,D
davantage,didn,Didn.,Didn
par,by,di,por
besoin,need,bisogno,necesitar
quelque chose,something,qualche cosa,algo
a,has,ha,posee
aussi,too,anche,también
Suite,more,di più,más
façon,way,strada,manera
vers le bas,down,fuori uso,abajo
Fabriquer,make,Fare,hacer
très,very,molto,muy
jamais,never,mai,Nunca
seulement,only,solo,solamente
gens,people,le persone,gente
plus de,over,terminato,sobre
car,because,perché,porque
peu,little,poco,poco
s'il te plaît,please,Per favore,por favor
amour,love,amore,amor
devrait,should,dovrebbe,deberían
signifier,mean,significare,significar
mentionné,said,disse,dijo
Pardon,sorry,scusate,lo siento
donner,give,dare,dar
désactivé,off,spento,apagado
un m,am,sono,soy
remercier,thank,grazie,gracias
quelconque,any,qualunque,ninguna
deux,two,Due,dos
même,even,Anche,incluso
beaucoup,much,molto,mucho
Faire,doing,facendo,haciendo
Bien sur,sure,Sicuro,Por supuesto
chose,thing,cosa,cosa
celles-ci,these,questi,estas
aider,help,aiuto,ayuda
première,first,primo,primero
dans,into,in,dentro
rien,anything,nulla,cualquier cosa
toujours,still,ancora,todavía
trouver,find,trovare,encontrar
la vie,life,vita,la vida
rien,nothing,niente,nada
Monsieur,sir,Signore,señor
journée,day,giorno,día
Dieu,god,Dio,Dios
travailler,work,lavoro,trabajo
leur,their,loro,sus
euh,uh,uh.,Oh
de nouveau,again,ancora,otra vez
peut être,maybe,può essere,quizás
devoir,must,dovere,deber
avant de,before,prima,antes de
autre,other,Altro,otro
attendre,wait,aspettare,Espere
arrêter,stop,fermare,detener
appel,call,chiamata,llamada
après,after,dopo,después
gagné,won,ha vinto,ganado
parler,talk,parlare,hablar
une façon,away,lontano,fuera
que,than,di,que
pensait,thought,pensiero,pensamiento
domicile,home,casa,casa
nuit,night,notte,noche
mettre,put,mettere,poner
génial,great,grande,estupendo
celles,those,quelli,esos
dernier,last,Ultimo,último
mieux,better,meglio,mejor
tout,everything,Tutto quanto,todo
Raconté,told,detto,dicho
Monsieur.,mr.,Sig.,señor.
Nouveau,new,nuovo,nuevo
des choses,things,cose,cosas
toujours,always,sempre,siempre
garder,keep,mantenere,mantenerse
long,long,lungo,largo
années,years,anni,años
partir,leave,partire,salir
Est-ce que,does,fa,lo hace
de l'argent,money,i soldi,dinero
environ,around,intorno a,alrededor
ne pas,doesn,non,no tiene
Nom,name,nome,nombre
lieu,place,luogo,lugar
jamais,ever,sempre,siempre
sentir,feel,Tatto,sentir
les mecs,guys,ragazzi,tipo
père,father,padre,padre
mec,guy,tipo,chico
fabriqué,made,fatto,hecha
vieux,old,vecchio,viejo
isn,isn,isn.,isn
lequel,which,quale,cual
gros,big,grande,grande
parcelle,lot,quantità,lote
terminé,done,fatto,hecho
Bonjour,hello,Ciao,Hola
agréable,nice,Bello,agradable
croyez,believe,credere,creer
fille,girl,ragazza,niña
quelqu'un,someone,qualcuno,alguien
amende,fine,bene,multa
Merci,thanks,Grazie,Gracias
voulait,wanted,ricercato,querido
type,kind,tipo,tipo
à venir,coming,In arrivo,viniendo
loger,house,casa,casa
tous,every,ogni,cada
d'accord,ok,ok,OK
par,through,attraverso,a través de
être,being,essendo,siendo
cours,course,corso,curso
rester,stay,stare,Quédate
la gauche,left,sinistra,izquierda
père,dad,papà,papá
assez,enough,abbastanza,suficiente
arrivé,happened,è accaduto,sucedió
venu,came,è venuto,llegó
mai,may,Maggio,mayo
mère,mother,madre,madre
tort,wrong,sbagliato,incorrecto
monde,world,mondo,mundo
mal,bad,cattivo,malo
pourrait,might,potrebbe,puede que
Trois,three,tre,Tres
aujourd'hui,today,oggi,hoy dia
Ecoutez,listen,Ascoltare,escucha
une autre,another,altro,otro
comprendre,understand,capire,comprender
écouter,hear,ascoltare,escuchar
rappelles toi,remember,ricordare,recordar
interroger,ask,Chiedi,pedir
posséder,own,possedere,propio
même,same,stesso,mismo
Afficher,show,mostrare,show
autre,else,altro,demás
tuer,kill,uccisione,matar
en parlant,talking,parlando,hablando
a trouvé,found,fondare,fundar
suivant,next,prossimo,próximo
obtenir,getting,ottenere,consiguiendo
se soucier,care,cura,cuidado
auto,car,auto,coche
en regardant,looking,"analizzare, cercare, guardare",mirando
fils,son,figlio,hijo
essayer,try,Tentativo,tratar
femme,woman,donna,mujer
allé,went,andato,fuimos
salut,hi,Ciao,Hola
mort,dead,morto,muerto
de nombreux,many,molti,muchos
esprit,mind,mente,mente
n'était pas,wasn,non era,wasn
amie,friend,amico,amigo
meilleur,best,migliore,mejor
maman,mom,mamma,mamá
enfer,hell,inferno,infierno
Matin,morning,mattina,Mañana
en essayant,trying,provando,difícil
garçon,boy,ragazzo,chico
ensemble,together,insieme,juntos
toi-même,yourself,te stesso,tú mismo
travail,job,lavoro,trabajo
vu,saw,Sega,vio
famille,family,famiglia,familia
réel,real,vero,verdadero
sans pour autant,without,senza,sin
bébé,baby,bambino,bebé
salle,room,Camera,habitación
ne serait pas,wouldn,wouldn.,sería
déjà,already,già,ya
bouge toi,move,spostare,moverse
plus,most,più,más
vu,seen,visto,visto
habitent,live,abitare,En Vivo
Mademoiselle,miss,Perdere,extrañar
en fait,actually,in realtà,Realmente
hein,huh,eh.,eh
merde,shit,merda,mierda
tous les deux,both,entrambi,ambas cosas
entendu,heard,sentito,oyó
une fois que,once,una volta,una vez
prêt,ready,pronto,Listo
diriger,head,testa,cabeza
appelé,called,chiamata,llamado
utilisé,used,Usato,usado
idée,idea,idea,idea
savait,knew,conosceva,supo
tenir,hold,presa,sostener
content,happy,felice,contento
porte,door,porta,puerta
tel,such,come,tal
Merde,fuck,Fanculo,Mierda
frère,brother,fratello,hermano
également,also,anche,además
jolie,pretty,bella,bonito
bit,bit,po,poco
a pris,took,ha preso,tomó
havre,haven,porto,refugio
encore,yet,ancora,aún
Hommes,men,uomini,hombres
ensemble,whole,totale,entero
démarrer,start,cominciare,comienzo
utiliser,use,utilizzo,utilizar
tandis que,while,mentre,tiempo
puisque,since,da,ya que
femme,wife,moglie,esposa
journées,days,giorni,días
deviner,guess,indovinare,adivinar
demain,tomorrow,Domani,mañana
question,matter,questione,importar
rencontrer,meet,incontrare,reunirse
apporter,bring,portare,traer
ce soir,tonight,stasera,esta noche
toutes les personnes,everyone,tutti,todo el mundo
Cours,run,correre,correr
veux,wanna,voglio,querer
dur,hard,difficile,duro
ah,ah,ah.,ah
seule,alone,da solo,solo
moi même,myself,me stessa,yo mismo
l'école,school,scuola,colegio
disparu,gone,andato,desaparecido
euh,um,um,um
finir,end,fine,final
en disant,saying,detto,diciendo
téléphoner,phone,Telefono,teléfono
jouer,play,giocare a,jugar
regards,looks,sembra,mira
ne pouvait que,couldn,non poteva,no podría
putain de,fucking,cazzo,maldito
problème,problem,problema,problema
quelque,few,pochi,pocos
copains,friends,gli amici,amigos
gotta,gotta,devo,tengo que
depuis,ago,fa,atrás